191,94,60,125,77
192,33,63,25,69
193,61,40,96,61
194,97,12,96,24
195,109,88,118,87
196,39,50,39,40
197,43,9,43,18
198,65,16,66,1
199,106,25,107,0
200,100,1,98,11
201,102,27,104,14
202,104,14,103,0
203,124,80,117,75
204,24,40,26,26
205,42,18,42,24
206,72,0,71,16
207,23,88,30,88
208,4,87,22,89
209,36,22,41,30
210,104,2,105,15
211,24,19,16,28
212,139,85,149,84
213,35,97,32,110
214,31,15,38,21
215,101,117,59,117
216,143,65,139,75
217,45,96,42,89
218,147,25,153,0
219,71,21,71,28
220,144,58,158,58
221,153,92,159,105
222,139,45,141,57
223,0,91,7,90
224,125,71,134,67
225,142,34,158,37
226,136,37,138,45
227,87,36,88,25
228,58,116,43,116
229,143,28,134,28
230,60,84,65,80
231,88,83,92,79
232,107,86,101,82
233,79,69,84,72
234,13,16,2,24
235,81,64,78,67
236,99,84,95,87
237,2,26,14,18
238,131,9,134,0
239,44,74,39,78
240,67,102,61,97
241,131,63,62,25
242,47,64,51,61
243,47,26,52,21
244,74,20,90,24
245,61,27,50,32
246,51,32,44,36
247,93,25,108,30
248,79,103,92,103
249,90,18,94,1
250,48,90,53,94
251,56,97,62,101
252,102,67,96,64
253,88,58,81,55
254,159,33,143,29
255,28,73,35,78
256,35,89,18,73
257,100,63,123,76
258,49,13,48,1
259,61,40,99,63
260,114,74,109,71
261,53,49,46,53
262,135,70,125,87
263,35,61,25,69
264,39,49,39,41
265,70,103,80,103
266,50,102,43,96
267,95,89,106,88
268,43,10,42,18
269,124,76,128,79
270,106,26,107,0
271,136,83,135,71
272,103,14,103,0
273,63,104,70,104
274,18,87,33,89
275,5,87,18,88
276,111,1,111,13
277,104,2,106,15
278,23,19,15,28
279,147,25,151,6
280,141,84,149,84
281,0,35,1,26
282,100,117,66,118
283,37,90,30,116
284,93,102,101,102
285,100,103,103,116
286,139,52,141,60
287,45,97,43,89
288,33,17,37,23
289,133,46,136,50
290,0,92,8,91
291,155,97,159,106
292,52,104,64,105
293,69,117,56,117
294,25,94,30,96
295,56,116,43,116
